valuationdate,revenues,ebit,depreciation,capex,ncwc,bv,y
31/12/2015,26412.45,4722.624833,4394.663,3174.67,1506.443,19688.758,35768.76482
30/09/2013,226252.2,43521.49583,485.023,91.535,29942.541,180539.3,300433.6095
31/03/2015,80433.655,21047.60572,13039.202,14706.499,2143.723,45505.963,164035.7652
31/12/2014,161956.8,46131.23657,6771.026,15095.943,6671.976,9945.644,288355.5903
31/03/2013,80900.045,21403.82687,12375.401,14132.514,6149.289,32577.834,225358.7998
31/03/2019,361876.695,121403.983,56424.024,44525.522,8160.007,272933.737,1030357.113
30/09/2012,241733.9,149460.8711,7386.4,16312.0,324167.9,373513.7,1970681.4
31/12/2017,48548.239,14438.979,2741.664,1300.387,11144.823,10963.497,137568.5288
30/09/2013,13837.731,2298.407678,46.306,810.824,3586.082,10688.986,45166.60328
31/12/2013,14620.194,3026.130122,23.787,740.658,4342.112,18098.441,68611.51059
31/03/2018,18439.2732,888.7729681,924.98,1028.12,3014.821168,6105.58,13276.2767
31/03/2015,65249.069,8778.486744,2326.817,12545.344,3198.808,12288.512,92431.8433
31/12/2020,194469.2,64737.23,27185.58,21282.893,-2621.184,144159.3,749153.1756
31/03/2014,39254.5,4451.474554,1.0,222.655,8393.407,14579.113,98497.17364
31/12/2011,181671.3,34753.8,18559.9,37319.2,24860.0,157919.6,456515.5
31/12/2011,43531.3,4470.79317,1803.1,977.0,1229.7,22632.7,49560.7
30/09/2013,55267.361,9242.863938,826.603,2186.871,14049.367,43962.109,199883.2074
30/06/2020,168387.48,11967.75,2061.493,3048.2,18440.115,17842.51,208037.9119
31/12/2014,14742.882,3394.961621,45.128,1072.431,3260.527,15340.311,67838.76222
30/06/2011,61297.6,11308.33384,6011.3,16844.8,2563.8,51076.9,217986.8
30/06/2020,42659.576,8181.181,3508.528,3829.141,6098.355,26123.174,127816.1357
31/03/2010,120224.0,11768.54512,17076.4,11761.6,61917.80461,125385.2,376432.0
30/06/2010,53971.0,11788.21244,10919.9,28651.5,4442.4,72279.4,216116.0
31/03/2013,99089.821,9042.948811,1443.856,7470.897,19784.968,27071.549,152363.8892
30/06/2015,39436.96,2833.275328,1847.115,2133.503,6187.853,11291.819,50078.63671
31/12/2017,23004.664,5595.699,631.175,1902.964,3797.995,19371.551,116129.4609
30/09/2018,17111.37318,1781.293948,719.19,835.44,1990.0527,10439.711,36960.56606
30/06/2018,37464.75845,4064.926292,1311.55,550.67,4465.799207,13889.279,53949.25217
30/06/2011,36573.2,4426.86008,2083.0,1575.7,3797.7,12666.4,41928.5
30/09/2018,102780.3478,10791.93652,467.05,673.81,75954.677,43340.8,101752.5443
31/03/2009,286119.6,15103.09978,8579.2,9993.7,37560.7,63437.6,191017.903
30/06/2013,263105.897,124446.2075,62447.316,138935.01,5781.78,299696.985,1604465.12
31/03/2013,551321.108,21818.54431,2650.86,14288.579,55777.901,123647.627,613570.268
31/12/2015,63182.714,7793.691112,139.902,2177.897,17577.56,27328.607,124714.4432
30/06/2010,17230.3,1440.92764,1090.7,478.4,798.258506,7450.5,25982.4
31/03/2018,431466.7099,28994.56291,9152.67,9648.03,34042.72341,70708.208,409893.3744
31/03/2015,149319.047,35132.69575,1414.96,11082.662,30793.212,136021.81,470288.7295
31/03/2011,135765.5,11032.05324,3517.8,2753.3,10325.7,41772.1,141724.1
31/12/2016,112679.149,12882.61461,4312.082,2948.09,17871.568,35735.573,206202.8427
30/06/2009,97979.2,3952.48004,7318.9,5527.7,19930.4,36375.4,114245.8
30/09/2020,68251.775,7981.882,2273.793,2584.472,14329.913,29468.263,249498.3696
30/06/2013,492.401,192.6536288,12.85,194.695,139.981,2322.456,5922.185234
31/03/2011,30373.2,3295.4,784.5,895.6,5760.9,6163.4,45063.6
31/03/2014,130615.896,23461.59664,1572.717,4844.001,22078.863,131697.404,398556.8761
30/09/2009,9851.0,1176.25551,676.0,397.4,2373.4,5549.7,29043.7
30/06/2015,833660.7,47530.71751,4907.96,21000.7,32870.228,134451.7,537540.8088
31/12/2019,11853.788,2092.556,1229.135,939.463,703.63,5050.92,7309.254421
31/12/2020,290390.126,-8691.967,15629.38,29748.7,-20150.578,90672.11,1040421.44
30/06/2018,181177.5093,95806.6669,41426.53,6353.71,111605.3457,479706.87,1927728.699
31/12/2019,417640.786,40377.831,12700.023,11654.579,156505.144,96309.67,946445.7944
30/09/2015,240923.712,29598.56656,747.363,8449.1,20982.409,94013.548,536067.427
31/03/2012,6879.9,1803.5,872.2,2078.9,1117.0,8721.0,29969.2
30/09/2018,225186.0896,43821.21303,1339.16,389.08,38506.82132,212389.04,301749.36
31/03/2017,47586.032,22437.886,5027.91,8305.464,1345.188,51061.5,256764.5454
30/06/2009,243127.5,47360.25597,14496.7,33881.0,51940.9,149647.3,406860.0
30/09/2013,73043.179,8416.581908,158.262,2508.94,14373.622,33964.804,154749.991
31/12/2009,140495.0,21426.60738,5533.6,6407.1,16193.9,50444.1,322711.369
31/03/2015,131652.918,24238.97058,1638.732,4963.11,24390.296,132965.869,365170.593
31/03/2016,18461.4,1218.255008,835.064,1233.913,2489.892,5083.62,16246.032
30/09/2019,128787.185,5630.823,2091.535,2289.025,22843.521,37507.022,90476.57421
30/09/2012,42309.3,6197.52384,3191.0,3326.2,2684.0,24773.5,79232.1
31/03/2019,310423.031,71050.2,21672.247,20225.622,40601.492,217273.103,2721154.357
30/06/2014,22425.834,2539.097261,910.294,893.269,1492.902,6802.441,55583.88285
31/03/2017,64216.367,8259.759,4350.997,11143.792,4906.417,16201.852,114827.9912
31/03/2019,196135.4,32315.41,7263.46,13849.617,14488.685,34389.2,264409.7025
30/06/2018,20228.86434,4509.013861,58.9,70.3,-123.3960725,16298.1,21038.01891
31/12/2012,296844.7,30387.03331,7099.0,11006.8,47994.1,80144.5,278168.7
31/12/2020,76296.877,2685.276,2014.391,2831.591,10560.425,23728.984,121876.2273
31/03/2014,11980.505,2448.948945,35.484,256.662,3125.625,17020.116,34274.78361
30/09/2014,149321.049,35573.7832,5194.413,5902.89,16545.402,105364.963,464404.2503
30/09/2015,108400.472,4771.096953,407.123,1587.424,16256.064,30795.64,54725.08472
30/06/2017,148028.149,13576.772,1389.729,6418.857,25398.097,36230.572,201907.1576
30/06/2013,32562.461,4590.021946,1030.561,1905.497,6312.19,13167.33,74196.48448
31/12/2013,312313.634,-1932.463699,10.93,16809.487,-6264.627,54164.748,281296.9969
31/03/2016,163192.8,36824.59966,8006.293,12212.714,31261.925,163549.752,652771.2
31/03/2017,186845.351,48154.881,9734.175,21350.205,33274.454,170176.911,813144.8902
30/06/2009,22673.0,4646.77665,2287.4,4165.1,1581.1,13782.3,76227.1
31/12/2012,51186.1,2202.9756,3257.1,1686.9,8852.2,30413.3,78917.0
31/03/2016,160568.868,37339.92548,10799.871,15823.86,15972.587,218295.418,1085445.548
30/09/2020,161665.783,10859.484,3142.68,4949.447,21015.937,43869.995,218510.0938
31/03/2020,14925.01,-575.023,923.815,839.544,2033.856,6045.36,11053.9544
30/06/2014,845029.1,48879.4276,5181.05,21029.87,37370.908,131535.9,646358.716
30/09/2016,81629.718,8221.580641,387.608,337.337,59040.129,38375.24,96323.06724
30/06/2019,159954.932,21420.987,5345.563,4639.575,37423.307,76838.349,412944.5791
31/03/2013,23789.16,2312.028423,0.288,1276.336,2781.17,1405.83,12939.18048
30/06/2016,170370.41,5942.564145,3549.22,5946.6,1016.523,13564.12,90296.3173
31/12/2014,42199.0,12821.44467,2628.8,1276.88,9629.914,25954.13,145720.9659
30/09/2015,65021.839,6297.08758,150.12,3843.596,13181.644,29980.018,116644.5474
30/09/2020,117723.3,13998.83,703.111,865.664,77810.825,60114.196,142350.476
30/09/2020,3925.923,1984.495,1099.251,1401.05,-6212.609,6638.646,51636.67716
31/12/2016,27976.788,2977.800449,1481.643,2021.8,5748.647,10113.498,47001.00384
31/03/2016,78572.75,21232.92258,15480.174,11328.2,1347.83,47373.179,182288.78
30/06/2018,10018.75838,3483.522289,2500.84,2071.0,1502.813757,20115.032,31358.71373
31/12/2013,29489.21,2281.893928,847.916,731.022,522.72,6968.535,56408.42061
31/03/2010,30896.8,3077.61966,586.9,557.5,11429.2,14726.2,48691.2
31/03/2010,348403.3,12041.2,6895.6,8541.7,11590.5,44459.3,128711.8
31/12/2009,163774.5,28409.17907,28162.6,26915.6,-2673.3,98265.0,352936.5
30/09/2015,43794.11,3499.802367,200.986,1533.854,6063.908,14453.804,55065.90437
31/12/2012,153386.7,22762.6,6868.1,10154.9,34866.6,69099.2,220583.4
31/03/2010,172115.8,89230.04807,4716.0,6655.9,366033.15,194632.2,664702.1
30/06/2018,1260.955867,270.7272248,119.47,338.21,292.0373789,4307.136,9015.834453
30/09/2015,85815.125,3518.381181,74.3,1097.76,6687.585,8710.877,36674.83249
30/09/2017,157347.163,39932.905,5867.852,6834.105,16657.582,95309.199,452197.7826
31/12/2011,24211.7,-1886.39991,1704.4,1438.8,28290.2,38185.8,108735.3
31/03/2013,5729.528,872.0371459,470.9,536.145,489.145,4207.543,13570.51485
30/06/2010,62464.0,9800.6559,5171.4,10092.9,15761.92764,31409.2,124084.8
30/06/2018,449586.9525,120039.7163,40539.0,36951.0,16454.88246,349658.0,620429.9944
30/06/2011,2042136.0,199267.4487,100885.6,194579.2,179568.8,976878.8,1767882.1
30/06/2019,40142.9,4641.366,1975.279,1293.034,5409.865,17424.36,42986.78632
31/03/2018,122210.562,44142.45501,15404.1,33551.8,6990.444149,115160.0,450956.9739
31/03/2017,17974.62,1323.722,868.162,1160.437,2874.389,5565.44,16617.15983
30/06/2013,15104.76,2361.09545,51.5,12.6,-219.3,13389.3,15797.20407
31/03/2019,98171.935,1119.403,6205.151,19079.845,5397.437,26159.62,189878.1247
31/03/2012,100310.4,16831.88153,4608.2,7142.9,3707.9,33917.8,246625.1
30/09/2017,107720.811,38515.739,10142.565,9162.699,-1558.509,68629.076,447376.5274
30/06/2017,10578.287,3715.419,1900.093,1927.049,1434.048,19875.069,34276.06818
31/03/2011,23010.5,4982.2,956.1,1012.2,14628.1,17650.6,22417.3
30/06/2020,433493.199,27917.406,25985.932,33485.228,-16029.393,79270.05,2040404.959
30/06/2017,240528.304,34924.464,14170.651,11829.492,-1039.607,47766.026,860365.5605
31/12/2009,202686.6,8411.22494,6636.4,6509.0,23872.1,37502.7,93195.5
31/12/2015,312447.33,-5444.120674,19.358,29391.844,-4214.497,71457.683,325013.8273
31/12/2011,455640.0,99842.12317,39224.1,14664.5,165679.2,454264.8,1299561.044
31/12/2010,52582.3,2417.79751,3597.8,1565.9,10091.95,37399.6,70920.3
31/12/2014,116172.907,15097.54577,2416.641,3444.199,16851.33,40092.528,184711.3301
30/06/2011,29218.5,4566.7188,1831.9,4169.9,8314.4,28295.5,83170.8
31/12/2019,455956.66,55729.5,20540.7,25978.05,25318.8,447917.9,1115379.301
30/06/2017,149137.59,9894.51,1552.631,3068.106,19372.206,14226.629,141475.695
31/12/2015,28732.48,2656.531135,527.856,663.205,-156.405,4786.478,48803.67519
31/12/2014,28214.097,3520.265683,117.303,1828.18,5545.284,11469.128,32634.82505
31/12/2014,161177.611,55076.58089,18467.839,19175.715,2049.549,47738.634,459105.4921
31/12/2012,28476.9,5279.24688,1980.6,1386.5,36773.1,37493.5,162459.7
31/12/2015,131852.444,25036.75551,408.793,6016.096,1340.709,62951.362,467672.207
31/03/2013,215628.429,7388.072841,2059.548,5182.525,3115.247,14758.23,110136.9724
30/06/2014,323405.834,116557.8814,29080.848,69640.464,37377.08,272354.659,959750.5657
31/03/2011,109632.0,10293.35155,3699.5,3571.7,17273.9,29923.3,95710.1
30/09/2018,114624.5674,41058.52004,10837.69,12564.7,7874.70778,63618.157,373676.0897
30/09/2015,66150.988,6206.277135,21.209,237.475,52731.138,32968.757,96839.7714
31/12/2015,117541.255,12746.46118,3458.126,3788.755,18430.031,48384.689,225129.8758
30/09/2013,243028.926,29627.26205,576.274,7381.274,26410.909,94774.082,398031.0691
31/12/2009,387324.2,97786.98968,28511.4,16510.5,138759.3,339113.8,1177037.2
30/09/2009,53979.2,1934.74459,664.8,534.0,5742.2,9113.2,19817.6
30/06/2018,545380.8248,39431.03363,18817.69,20482.41,46139.21778,174113.876,349043.7279
30/09/2018,233923.442,30831.10966,6151.05,8507.16,15509.12421,144255.792,470186.1185
30/09/2019,1542395.734,79077.943,13915.297,11685.404,-79875.421,209136.672,1064409.224
30/06/2010,301686.7,16651.65117,3991.7,4741.7,20570.1,68029.4,181798.2
30/09/2018,79505.79564,13380.82541,5471.01,3148.72,17857.0017,69310.473,364136.5441
31/03/2014,78891.92,20670.91936,12231.001,11155.812,3849.809,48641.354,143083.1145
30/09/2020,58618.661,11613.021,4857.771,4389.802,5601.617,33233.018,195835.3855
30/09/2010,27693.2,1145.36057,989.6,457.3,5637.4,10352.1,25524.0
30/06/2013,1068.34,289.8660833,41.595,86.741,335.727,3205.052,7551.146646
30/09/2009,386279.9,6689.1,24109.0,23896.2,68714.9,158450.7,187375.0
30/06/2020,38510.92,3419.078,1897.861,1756.223,6032.345,11341.546,143764.7704
31/12/2018,73938.27385,7342.070593,1673.83,2334.65,11135.10404,19760.712,93162.22505
30/09/2014,8284.534,432.8634667,11.67,225.184,1612.536,2302.505,17303.57127
31/03/2013,136442.9,16095.10492,3164.73,2356.98,10543.27,32797.199,204227.2377
31/12/2015,52316.576,15638.54608,3299.879,1456.39,10707.371,31812.1,153354.3518
31/12/2017,106704.67,13536.672,3629.318,2653.512,17416.458,30263.443,207345.7243
30/06/2019,171868.343,17331.78,1839.72,12591.424,29378.316,47033.232,239813.1712
31/03/2017,44709.57,10171.66,1870.238,1679.904,10330.006,24908.726,144294.752
31/03/2017,107188.393,20834.435,2708.955,3725.2,18755.161,96350.557,372578.9412
31/03/2010,166904.0,36388.30762,3010.7,2296.8,13507.84595,38762.2,365581.2
31/03/2015,318657.439,84734.45774,46001.611,43872.78,-6717.118,135118.712,804708.4145
31/12/2017,141758.809,13467.82,6100.678,7894.929,22443.509,51161.294,303724.4284
31/12/2017,60210.663,6531.405,1302.086,1628.331,15508.081,27066.173,119715.79
30/06/2011,178883.3,27020.95476,16186.3,23182.4,57367.6,178784.4,426386.5
31/12/2009,947053.1,8538.66897,63992.9,57855.4,334349.6,126850.4,779416.3
31/03/2009,743513.9,33187.88093,15692.5,22714.2,31808.6,131217.3,424982.5
30/06/2010,42110.2,3126.0706,2311.7,998.4,17489.34495,33429.9,86695.9
31/03/2020,7129.648,3740.141,1097.018,3370.671,1208.42,12878.134,69771.98596
30/06/2009,5034.1,1361.9162,664.8,1726.8,1910.4,8070.8,38632.9
30/06/2018,726.1537643,247.4732029,47.73,7.09,1564.933977,1649.984,3180.553488
30/06/2017,114393.92,14009.447,4838.741,5805.165,11908.105,29254.92,188675.4049
30/06/2012,54089.0,3796.37175,3050.8,1700.6,22105.2,36934.7,101968.5
31/03/2014,66872.778,27178.32556,122.963,1735.869,10678.759,758.305,333686.7035
30/09/2016,118706.864,4821.501601,1356.06,1118.982,7408.02,10889.534,59353.432
31/03/2011,6318.4,1681.1,808.7,2021.9,580.6,8676.8,27707.6
30/09/2014,206110.1,36645.45648,370.474,334.424,27677.529,166646.4,310407.4809
31/12/2018,128955.782,19020.97784,6344.01,3993.55,18221.45199,41517.685,248884.6592
30/06/2018,24287.05555,1799.670816,602.86,638.5,2212.550761,5380.3,21129.73833
31/12/2009,272839.1,15160.37865,12540.7,19316.9,8359.6,38840.1,219466.8
30/06/2018,285036.4005,109026.4232,36323.19,87925.45,14080.79819,294725.31,1003328.13
30/06/2017,172600.18,24110.75,3331.438,3109.135,10332.183,13238.047,354649.1172
31/03/2019,17705.84,469.86,917.989,962.739,3411.41,6016.16,13152.36075
31/03/2009,129504.1,8832.7,3456.6,5311.0,8100.7,38310.6,110512.4
30/09/2009,84942.8,12955.52503,4873.4,5700.9,35315.1,72822.2,360390.965
30/06/2014,119459.49,11230.60438,1603.792,7864.346,23473.358,30123.023,166119.3479
31/12/2019,78443.285,7050.558,1742.459,4328.199,12621.061,32987.608,101972.4523
31/03/2012,37800.2,6023.29112,3662.0,2672.3,9865.3,24439.3,101392.1
